鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1090327,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,10000000,57997,坡道平面,26.98,1500000,,RPTQMLMKQHGGFDC28CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.44,住,,,1090306,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9050000,58086,坡道平面,26.98,1500000,,RPUQMLMKQHGGFDC38CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.44,住,,,1090306,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9050000,58086,坡道平面,26.98,1500000,,RPVQMLMKQHGGFDC48CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,27.4,住,,,1090218,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,124.17,2,2,1,有,無,7300000,59677,坡道平面,26.98,1500000,,RPWQMLMKQHGGFDC58CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,27.11,住,,,1090307,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,123.9,2,2,1,有,無,6900000,57780,坡道平面,26.98,1300000,,RPXQMLMKQHGGFDC68CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.44,住,,,1090223,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9060000,58163,坡道平面,26.98,1500000,,RPORMLMKQHGGFDC87CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,27.4,住,,,1090118,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,124.17,2,2,1,有,無,7230000,58957,坡道平面,26.98,1500000,,RPPRMLMKQHGGFDC97CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1090118,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,10160000,59088,坡道平面,26.98,1500000,,RPQRMLMKQHGGFDC08CB,萬隆青青二期
七堵區,房地(土地+建物),基隆市七堵區堵南街,34.98,住,,,1081229,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,127.4,3,2,2,有,無,7500000,58870,,0.0,0,,RPRRMLMKQHGGFDC18CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1081209,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,10280000,59907,坡道平面,26.98,1500000,,RPSRMLMKQHGGFDC28CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.15,住,,,1081130,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.31,3,2,2,有,無,9150000,59151,坡道平面,26.98,1500000,,RPTRMLMKQHGGFDC38CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.44,住,,,1081209,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9270000,59009,坡道平面,26.98,1600000,,RPVRMLMKQHGGFDC58CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,40.81,住,,,1081214,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,173.54,4,2,2,有,無,10250000,59020,坡道平面,26.98,1600000,,RPWRMLMKQHGGFDC68CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,27.11,住,,,1081208,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,123.9,2,2,1,有,無,7320000,59018,坡道平面,26.98,1600000,,RPXRMLMKQHGGFDC78CB,萬隆青青二期
七堵區,房地(土地+建物),基隆市七堵區堵南街,26.82,住,,,1081216,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,97.19,2,2,1,有,無,5700000,58648,,0.0,0,,RPOSMLMKQHGGFDC97CB,萬隆青青二期
七堵區,房地(土地+建物),基隆市七堵區堵南街,26.53,住,,,1081208,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,97.14,2,2,1,有,無,5700000,58678,,0.0,0,,RPPSMLMKQHGGFDC08CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.44,住,,,1081110,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9380000,59855,坡道平面,26.98,1600000,,RPQSMLMKQHGGFDC18CB,萬隆青青二期
七堵區,房地(土地+建物)+車位,基隆市七堵區堵南街,36.73,住,,,1081006,土地1建物1車位2,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,183.29,3,2,2,有,無,10900000,61084,坡道平面,53.96,3000000,,RPRSMLMKQHGGFDC28CB,萬隆青青二期
七堵區,房地(土地+建物),基隆市七堵區堵南街,35.56,住,,,1080916,土地1建物1車位0,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.28,3,2,2,有,無,7830000,60566,,0.0,0,,RPSSMLMKQHGGFDC38CB,萬隆青青二期
